Time,1TC1,1TC3,1TC5,1TC7
1,21.82836198,23.39913801,24.98787645,26.41046605
2,21.89869016,23.62074406,25.58697949,29.94721049
3,22.43463103,24.23150262,34.99429474,49.4182592
4,23.18654201,25.28450525,45.12708444,79.4083678
5,24.25147164,26.0453714,44.53848215,115.042926
6,25.53658558,27.6300013,48.76460129,146.1184822
7,27.12196873,29.28755918,101.4167065,179.5241825
8,29.3074341,31.69391818,157.0529528,216.7436691
9,31.55808955,34.0894037,178.1571369,253.7319418
10,34.26988405,36.8695556,212.1986622,301.0143696
11,37.25758084,40.14837988,235.773092,336.9738072
12,40.23720439,44.60655027,269.2779443,366.2397114
13,42.9968346,48.31942454,284.0516334,404.7868304
14,46.79380768,52.32322924,296.4669846,427.5764695
15,48.33362647,55.18494766,310.8617765,447.3269358
16,49.59187485,58.64701856,327.6319721,462.5453652
17,51.44561681,62.47642416,342.4569007,486.0106319
18,53.07572144,65.4932144,357.9743471,501.586646
19,55.067601,69.23595395,381.431496,518.9514445
20,56.98896417,72.24841648,394.4004568,542.3820023
21,60.51098613,76.85743393,412.2330732,559.5543697
22,63.15712256,82.28486092,429.0891632,576.8850712
23,67.04878347,85.00019055,447.2723741,608.4418093
24,71.30910376,91.54456011,459.553427,620.0175355
25,76.57819063,98.0141507,470.5949625,642.6942131
26,83.03266728,104.8089951,471.1690308,681.8444969
27,94.13404652,115.1267753,461.4860683,696.0281379
28,105.5738423,129.8475975,451.2215042,699.524113
29,125.1460067,147.4896154,461.9166852,729.9990301
30,152.6640151,169.4587782,489.3906768,750.4241536
31,171.3910549,198.0160182,493.3337588,766.0668022