Original_Test_Name,Test_Config,Location,Vent_Configuration,Nozzle_Position,Nozzle_Pattern,Nozzle_Direction,Test_Series,Test_No,Total_Tests,Hose_Line_Size,Nozzle_Type,Tip_Size_(in),Nozzle_Pressure_(psi),Flow_Rate_(gpm),Actual_Flow,Pump_Setting
15-04-13_103117_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_5,,1 3/4,Fog,,100,125,135 (~6 leak),67.6
15-12-07_111118_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle,3,3_7,,1 3/4,Smooth Bore,15/16,50,180,183,
15-12-07_111820_Datafile,ignore,,,,,,,,,,,,,,,
15-12-07_121014_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Sweeping,Max Angle,,3_8,,1 3/4,Smooth Bore,15/16,50,180,183,
15-12-07_122135_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Mid Ceiling,,3_9,,1 3/4,Smooth Bore,15/16,50,180,183,
15-12-07_131316_Datafile,ignore,,,,,,,,,,,,,,,
15-12-07_140034_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle: Ceiling,,3_10,,1 3/4,Smooth Bore,15/16,50,180,183,
15-12-07_141333_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle: Wall,,3_11,,1 3/4,Smooth Bore,15/16,50,180,183,
15-12-07_143141_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle,,3_12,,1 3/4,Smooth Bore,7/8,50,150,171,
15-12-07_143828_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle,,3_13,,1 3/4,Smooth Bore,1,50,210,220,
15-12-07_145156_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle,,3_21,,1 3/4,Straight Stream,,100,150,148,
15-12-07_145842_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Sweeping,Max Angle,,3_22,,1 3/4,Straight Stream,,100,150,148,
15-12-07_150349_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Wide Sweep,Max Angle,,3_23,,1 3/4,Straight Stream,,100,150,148,
15-12-07_151001_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle: Sill,,3_24,,1 3/4,Straight Stream,,100,150,148,
15-12-07_151630_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Mid Ceiling,,3_25,,1 3/4,Straight Stream,,100,150,148,
15-12-07_152028_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle: Ceiling,,3_26,,1 3/4,Straight Stream,,100,150,148,
15-12-07_155226_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Min Angle: Wall,,3_27,,1 3/4,Straight Stream,,100,150,148,
15-12-07_155751_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Fixed,Max Angle,,3_28,,1 3/4,Fog,,100,150,145,
15-12-07_160438_Datafile,,Exterior,"Open Door, Open Window",Second Floor,Comb (Fixed then O),Max Angle,,3_29,,1 3/4,Fog,,100,150,145,
15-12-08_101028_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,3,3_1,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_101825_Datafile,,Exterior,"Open Door, Open Window",First Floor,Sweeping,Max Angle,,3_2,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_102402_Datafile,ignore,,,,,,,,,,,,,,,
15-12-08_102802_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Mid Ceiling,,3_3,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_103414_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle: Ceiling,,3_4,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_104150_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle: Wall,,,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_104620_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,At Wall ,,,,1 3/4,Smooth Bore,15/16,50,180,188,
15-12-08_105851_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,3_5,,1 3/4,Smooth Bore,7/8,50,150,168,
15-12-08_110730_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,3_6,,1 3/4,Smooth Bore,1,50,210,218,
15-12-08_113237_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,3_14,,1 3/4,Straight Stream,,100,150,149,
15-12-08_113716_Datafile,,Exterior,"Open Door, Open Window",First Floor,Sweeping,Max Angle,,3_15,,1 3/4,Straight Stream,,100,150,149,
15-12-08_114309_Datafile,,Exterior,"Open Door, Open Window",First Floor,Wide Sweep,Max Angle,,3_23,,1 3/4,Straight Stream,,100,150,149,
15-12-08_114905_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Mid Ceiling,,3_16,,1 3/4,Straight Stream,,100,150,149,
15-12-08_120311_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle: Ceiling,,3_17,,1 3/4,Straight Stream,,100,150,149,
15-12-08_121011_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle: Wall,,3_18,,1 3/4,Straight Stream,,100,150,149,
15-12-08_121425_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,At Wall,,,,1 3/4,Straight Stream,,100,150,149,
15-12-08_121806_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,3_19,,1 3/4,Fog,,100,150,149,
15-12-08_122239_Datafile,,Exterior,"Open Door, Open Window",First Floor,Comb (SS then Fog O),Max Angle,,3_20,,1 3/4,Fog,,100,150,149,
15-12-08_140501_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,4,,2 1/2,Straight Stream,,100,250,238,
15-12-08_142655_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Min Angle: Ceiling,,,,2 1/2,Straight Stream,,100,250,238,
15-12-08_144238_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,5,,2 1/2,Smooth Bore,1 1/4,50,260,266,
15-12-08_151308_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,6,,1 3/4,Straight Stream,,100,150,150,
15-12-08_151603_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,100,150,150,
15-12-08_151902_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,100,150,150,
15-12-08_152446_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,100,150,150,
15-12-08_152906_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,100,150,76,
15-12-08_153737_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Smooth Bore,15/16,50,180,195,
15-12-08_154306_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Smooth Bore,15/16,30,150,152,
15-12-08_154812_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Smooth Bore,15/16,15,130,127,
15-12-08_155710_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Smooth Bore,15/16,10,100,90,
15-12-08_160630_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,50,150,172,
15-12-08_161540_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,75,60,65,
15-12-08_162126_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,50,185,195,
15-12-08_162547_Datafile,,Exterior,"Open Door, Open Window",First Floor,Fixed,Max Angle,,,,1 3/4,Straight Stream,,25,130,134,
15-12-09_101601_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_6,1,1 3/4,Straight Stream,,100,125,159 (~33 leak),69
15-12-09_102308_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_7,2,1 3/4,Straight Stream,,100,125,135 (~6 leak),67.6
15-12-09_102830_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Z,Mid Ceiling,,1_8,3,1 3/4,Straight Stream,,100,125,135 (~6 leak),67.6
15-12-09_103306_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,T,Mid Ceiling,,1_9,4,1 3/4,Straight Stream,,100,125,135 (~6 leak),67.6
15-12-09_103649_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Inverted U,Mid Ceiling,,1_10,5,1 3/4,Straight Stream,,100,125,135 (~6 leak),67.6
15-12-09_104315_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_4,1,1 3/4,Fog,,100,125,135 (~6 leak),67.6
15-12-09_104806_Datafile,ignore,,,,,,,,,,,,,,,
15-12-09_112850_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_11,1,1 3/4,Straight Stream,,100,150,161 (~6 leak),70.5
15-12-09_113335_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_12,2,1 3/4,Straight Stream,,100,150,161 (~6 leak),70.5
15-12-09_113802_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_13,3,1 3/4,Fog,,100,150,161 (~6 leak),70.5
15-12-09_114240_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_14,4,1 3/4,Fog,,100,150,161 (~6 leak),70.5
15-12-09_115707_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_15,5,1 3/4,Straight Stream,,75,150,157 (~6 leak),64.7
15-12-09_120229_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_16,6,1 3/4,Straight Stream,,75,150,157 (~6 leak),64.7
15-12-09_120821_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_17,7,1 3/4,Fog,,75,150,157 (~6 leak),64.7
15-12-09_121309_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_18,8,1 3/4,Fog,,75,150,157 (~6 leak),64.7
15-12-09_121955_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_19,9,1 3/4,Straight Stream,,50,150,171 (~6 leak),61.2
15-12-09_122551_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_14,10,1 3/4,Straight Stream,,50,150,171 (~6 leak),61.2
15-12-09_123142_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_15,11,1 3/4,Fog,,50,150,171 (~6 leak),61.2
15-12-09_123636_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_16,12,1 3/4,Fog,,50,150,171 (~6 leak),61.2
15-12-09_142948_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,At Wall,,1_17,13,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_143335_Datafile,ignore,,,,,,,,,,,,,,,
15-12-09_143524_Datafile,ignore,,,,,,,,,,,,,,,
15-12-09_144524_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,At Wall,,1_18,1,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_144839_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Mid Ceiling,,1_19,2,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_145534_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Mid Ceiling,,1_20,3,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_145932_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Max Angle,,1_21,4,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_150300_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Max Angle,,1_22,5,1 3/4,Smooth Bore,15/16,50,180,191,66.1
15-12-09_151401_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,At Wall,,1_23,6,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_151823_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,At Wall,,1_24,7,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_152435_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,Fixed,Max Angle,,1_25,8,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_153038_Datafile,,Interior,"Open Door, Open Window",At Room Entrance,O,Max Angle,,1_26,9,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_153557_Datafile,ignore,,,,,,,,,,,,,,,
15-12-09_154257_Datafile,ignore,Interior,Triple Lindy,Triple Lindy,Triple Lindy,Triple Lindy,,1_27,1,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_154846_Datafile,,Interior,"Open Door, Open Window",At Hall Entrance,O,At Wall,2,2_1,1,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_155406_Datafile,,Interior,"Open Door, Open Window",At Hall Entrance,Z,At Wall,,2_2,2,1 3/4,Straight Stream,,100,150,161,71.5
15-12-09_160336_Datafile,,Interior,"Open Door, Open Window",At Hall Entrance,Pulsing,At Ceiling,,2_3,,1 3/4,Straight Stream,,100,150,161,71.5
