,Exeriment,First_Flow
0,Experiment_1_Data,1614
1,Experiment_2_Data,444
2,Experiment_3_Data,512
3,Experiment_4_Data,524
4,Experiment_5_Data,436
5,Experiment_6_Data,498
6,Experiment_7_Data,372
7,Experiment_8_Data,346
8,Experiment_9_Data,346
9,Experiment_10_Data,346
10,Experiment_11_Data,398
11,Experiment_12_Data,812
12,Experiment_13_Data,358
13,Experiment_14_Data,404
14,Experiment_15_Data,344
15,Experiment_16_Data,338
16,Experiment_17_Data,648
17,Experiment_18_Data,326
18,Experiment_19_Data,324
19,Experiment_20_Data,412
20,Experiment_21_Data,404
21,Experiment_22_Data,344
22,Experiment_23_Data,326
23,Experiment_24_Data,328
24,Experiment_27_Data,366