Experiment,First_Flow
Experiment_1_Data,1614
Experiment_2_Data,458
Experiment_3_Data,497
Experiment_4_Data,524
Experiment_5_Data,436
Experiment_6_Data,498
Experiment_7_Data,369
Experiment_8_Data,343
Experiment_9_Data,342
Experiment_10_Data,340
Experiment_11_Data,397
Experiment_12_Data,812
Experiment_13_Data,358
Experiment_14_Data,404
Experiment_15_Data,344
Experiment_16_Data,338
Experiment_17_Data,648
Experiment_18_Data,322
Experiment_19_Data,324
Experiment_20_Data,410
Experiment_21_Data,401
Experiment_22_Data,344
Experiment_23_Data,326
Experiment_24_Data,328
Experiment_27_Data,366